Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
76694,-0.449867,-9.882710,2.869097, 
76699,-0.521654,-9.822887,2.821239, 
76704,-0.485760,-9.983212,2.787738, 
76709,-0.605406,-9.863567,2.821239, 
76714,-0.622156,-9.853995,2.852346, 
76719,-0.540797,-9.942533,2.799702, 
76724,-0.619763,-9.806137,2.893026, 
76729,-0.622156,-9.803744,2.837989, 
76734,-0.586262,-9.832459,2.876276, 
76739,-0.641299,-9.758279,2.895419, 
76744,-0.753766,-9.832459,2.895419, 
76749,-0.763338,-9.832459,2.983956, 
76754,-0.792053,-9.784601,2.936098, 
76759,-0.748980,-9.736743,2.957634, 
76764,-0.815982,-9.688885,2.914562, 
76768,-0.818375,-9.849210,2.952849, 
76772,-0.875804,-9.602740,2.976778, 
76777,-0.904519,-9.535739,2.919348, 
76782,-0.902126,-9.619491,2.950456, 
76787,-0.990664,-9.595561,2.950456, 
76792,-1.093559,-9.825280,2.938491, 
76797,-1.136631,-9.487881,2.964813, 
76802,-1.129453,-9.449594,2.861918, 
76807,-1.110309,-9.490273,2.871490, 
76812,-1.165346,-9.502238,2.869097, 
76816,-1.249098,-9.456773,2.938491, 
76821,-1.210811,-9.382592,2.902597, 
76826,-1.213204,-9.308413,2.869097, 
76831,-1.275420,-9.339520,2.840382, 
76836,-1.292170,-9.365842,2.933705, 
76841,-1.299349,-9.337128,2.900205, 
76846,-1.301742,-9.236626,2.897812, 
76851,-1.292170,-9.227054,2.979171, 
76856,-1.340029,-9.181588,3.034207, 
76860,-1.368743,-9.162445,3.046172, 
76865,-1.340029,-9.176803,3.067708, 
76870,-1.335243,-9.188767,3.053351, 
76875,-1.349600,-9.164838,3.041386, 
76880,-1.416602,-9.114587,3.046172, 
76885,-1.409423,-9.093051,3.105995, 
76890,-1.378315,-9.109801,3.048565, 
76895,-1.464460,-9.119372,3.053351, 
76900,-1.471638,-9.119372,3.046172, 
76904,-1.450102,-9.116980,3.055744, 
76909,-1.462067,-9.090658,3.115566, 
76914,-1.466853,-9.150480,3.113173, 
76919,-1.552997,-9.179195,3.072494, 
76924,-1.560176,-9.076301,3.060529, 
76929,-1.469246,-8.994942,3.072494, 
76934,-1.454888,-8.990156,3.086851, 
76939,-1.600855,-8.997334,3.263927, 
76944,-1.409423,-8.932726,3.139495, 
76948,-1.409423,-8.856153,3.189746, 
76952,-1.457281,-8.968619,3.122745, 
76957,-1.457281,-9.064336,3.094030, 
76962,-1.536247,-9.081086,3.062922, 
76967,-1.495568,-9.093051,3.082066, 
76971,-1.478817,-9.066729,3.060529, 
76975,-1.395065,-9.023657,3.024636, 
76980,-1.469246,-9.109801,3.048565, 
76985,-1.423780,-9.035621,3.036600, 
76990,-1.450102,-9.028442,3.084459, 
76995,-1.418995,-9.152873,3.072494, 
