Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
265917,0,734623,-0,725051,-1,631963, 
265997,-3,053351,-78,401237,-13,845366, 
266077,1,909541,-9,215089,-1,749216, 
266156,0,014357,5,345757,0,981092, 
266236,0,868626,-0,559941,-0,291935, 
266315,-1,208419,-0,136396,-2,589127, 
266395,9,035621,-78,401237,-10,217717, 
266475,-2,586734,-9,351485,-3,127531, 
266554,-0,600620,6,013378,-0,148360, 
266634,1,847325,0,588655,0,787267, 
266713,0,105288,-0,148360,-1,801860, 
266793,0,093323,-78,401237,-14,977212, 
266873,1,777931,-10,832695,-3,677900, 
266953,-2,316335,5,613762,-1,194061, 
267033,1,564962,-0,471403,-0,397223, 
267112,-0,222540,-1,356779,-0,981092, 
267192,6,743215,-70,964081,-4,371843, 
267272,-4,462774,-5,697514,-1,222776, 
267351,0,753766,5,175860,-0,112467, 
267431,-0,124431,0,653264,1,160560, 
267510,-0,287149,-0,708301,-2,837989, 
267590,-1,615213,-77,893944,-14,125337, 
267670,2,378551,-7,875061,-2,187118, 
267750,-2,000471,4,874354,-0,533619, 
267830,0,660443,-0,392437,-0,983485, 
267909,-0,117252,-0,954770,-0,772909, 
267989,7,063865,-78,401237,-12,668056, 
268069,-1,818610,-5,053822,-0,978699, 
268148,0,361329,3,931548,-0,167504, 
268228,-0,306292,1,213204,0,906912, 
268307,0,959556,-0,775302,-3,161031, 
268387,-3,591755,-74,330902,-13,606075, 
268467,1,562569,-9,217482,-3,773616, 
268546,-1,337636,5,415151,-0,215362, 
268626,1,536247,-1,007414,0,947592, 
268706,-1,466853,-2,254119,-1,268241, 
268786,3,682686,-54,029472,-9,406522, 
268866,-2,378551,-1,825789,-1,572141, 
268945,-0,586262,3,486467,0,540797, 
269025,1,162953,1,196454,0,454653, 
269104,0,368508,-0,483367,-2,790131, 
269184,0,593441,-47,925163,-12,148794, 
269264,2,057901,-3,156246,-1,062451, 
269343,-1,012200,1,890397,1,217990, 
269423,-0,603013,-0,461831,-1,995685, 
269502,0,330221,0,241684,-0,882983, 
269582,6,439316,-75,539322,-14,166016, 
269662,-0,478582,-2,993528,-1,232348, 
269742,-2,079437,4,900676,-0,938020, 
269822,1,785109,-0,459438,2,191904, 
269901,0,610192,-0,445081,-6,949005, 
269981,-2,129688,-61,155552,-20,196144, 
270061,-1,206026,-3,005492,-2,065080, 
270140,-0,581477,2,225405,2,663307, 
270220,0,624549,-1,414209,-0,485760, 
270299,-1,459674,0,911698,-2,711165, 
270379,7,942062,-77,496719,-15,898481, 
270459,3,326142,-9,361056,-3,019850, 
270539,-2,861918,5,264398,-1,663071, 
270619,2,524518,0,315864,2,534090, 
270698,1,316099,-24,321518,-0,090931, 
270778,-3,749687,-10,988234,3,783188, 
270858,-0,090931,-4,658992,-1,701358, 
270937,1,038522,-8,889653,-3,517575, 
271017,0,105288,-9,088264,-1,091166, 
271096,0,830339,-9,131337,0,160325, 
271176,0,045465,-10,301470,-0,428331, 
